"Reaction Abbreviation","EC Number"
"R_HYD1pp","1.18.99.1"
"R_HYD2pp","1.18.99.1"
"R_HYD3pp","1.18.99.1"
"R_ICDHyr","1.1.1.42"
"R_ICHORS","5.4.99.6"
"R_ICHORT","3.3.2.1"
"R_ICL","4.1.3.1"
"R_IGPDH","4.2.1.19"
"R_IGPS","4.1.1.48"
"R_ILETA","2.6.1.42"
"R_ILETRS","6.1.1.5"
"R_IMPC","3.5.4.10"
"R_IMPD","1.1.1.205"
"R_INSH","3.2.2.8"
"R_INSK","2.7.1.73"
"R_IPDDI","5.3.3.2"
"R_IPMD","1.1.1.85"
"R_IPPMIa","4.2.1.33"
"R_IPPMIb","4.2.1.33"
"R_IPPS","4.1.3.12"
"R_KARA1","1.1.1.86"
"R_KARA2","1.1.1.86"
"R_KAS14","2.3.1.41"
"R_KAT1","2.3.1.16"
"R_KAT2","2.3.1.16"
"R_KAT3","2.3.1.16"
"R_KAT4","2.3.1.16"
"R_KAT5","2.3.1.16"
"R_KAT6","2.3.1.16"
"R_KAT7","2.3.1.16"
"R_KAT8","2.3.1.16"
"R_KDOCT2","2.7.7.38"
"R_KDOPP","3.1.3.45"
"R_KDOPS","4.1.2.16"
"R_LACZ","3.2.1.23"
"R_LACZpp","3.2.1.108"
"R_LALDO2x","1.1.1.21"
"R_LALDO3","1.1.1.21"
"R_LCADi","1.2.1.21"
"R_LCARR","1.1.1.77"
"R_LCARS","1.1.1.77"
"R_LDH_D","1.1.1.28"
"R_LDH_D2","1.1.2.4"
"R_LEUTAi","2.6.1.42"
"R_LEUTRS","6.1.1.4"
"R_LGTHL","4.4.1.5"
"R_LPADSS","2.4.1.182"
"R_LPLIPAL1A120pp","3.1.1.5"
"R_LPLIPAL1A140pp","3.1.1.5"
"R_LPLIPAL1A141pp","3.1.1.5"
"R_LPLIPAL1A160pp","3.1.1.5"
"R_LPLIPAL1A161pp","3.1.1.5"
"R_LPLIPAL1A180pp","3.1.1.5"
"R_LPLIPAL1A181pp","3.1.1.5"
"R_LPLIPAL1E120pp","3.1.1.5"
"R_LPLIPAL1E140pp","3.1.1.5"
"R_LPLIPAL1E141pp","3.1.1.5"
"R_LPLIPAL1E160pp","3.1.1.5"
"R_LPLIPAL1E161pp","3.1.1.5"
"R_LPLIPAL1E180pp","3.1.1.5"
"R_LPLIPAL1E181pp","3.1.1.5"
"R_LPLIPAL1G120pp","3.1.1.5"
"R_LPLIPAL1G140pp","3.1.1.5"
"R_LPLIPAL1G141pp","3.1.1.5"
"R_LPLIPAL1G160pp","3.1.1.5"
"R_LPLIPAL1G161pp","3.1.1.5"
"R_LPLIPAL1G180pp","3.1.1.5"
"R_LPLIPAL1G181pp","3.1.1.5"
"R_LPLIPAL2A120","3.1.1.5"
"R_LPLIPAL2A140","3.1.1.5"
"R_LPLIPAL2A141","3.1.1.5"
"R_LPLIPAL2A160","3.1.1.5"
"R_LPLIPAL2A161","3.1.1.5"
"R_LPLIPAL2A180","3.1.1.5"
"R_LPLIPAL2A181","3.1.1.5"
"R_LPLIPAL2E120","3.1.1.5"
"R_LPLIPAL2E140","3.1.1.5"
"R_LPLIPAL2E141","3.1.1.5"
"R_LPLIPAL2E160","3.1.1.5"
"R_LPLIPAL2E161","3.1.1.5"
"R_LPLIPAL2E180","3.1.1.5"
"R_LPLIPAL2E181","3.1.1.5"
"R_LPLIPAL2G120","3.1.1.5"
"R_LPLIPAL2G140","3.1.1.5"
"R_LPLIPAL2G141","3.1.1.5"
"R_LPLIPAL2G160","3.1.1.5"
"R_LPLIPAL2G161","3.1.1.5"
"R_LPLIPAL2G180","3.1.1.5"
"R_LPLIPAL2G181","3.1.1.5"
"R_LYSDC","4.1.1.18"
"R_LYSTRS","6.1.1.6"
"R_L_DASH_LACD2","1.1.2.3"
"R_L_DASH_LACD3","1.1.2.3"
"R_L_LACD2","1.1.2.3"
"R_L_LACD3","1.1.2.3"
"R_M1PD","1.1.1.17"
"R_MALDDH","1.1.1.83"
"R_MALS","4.1.3.2"
"R_MALTATr","2.3.1.79"
"R_MAN1PT2","2.7.7.22"
"R_MAN6PI","5.3.1.8"
"R_MANAO","1.1.1.57"
"R_MCITD","4.2.1.79"
"R_MCITL2","4.1.3.30"
"R_MCITS","4.1.3.31"
"R_MCOATA","2.3.1.39"
"R_MCPST","2.8.1.2"
"R_MDDCP1pp","3.4.16.4"
"R_MDDCP2pp","3.4.16.4"
"R_MDDCP3pp","3.4.16.4"
"R_MDDCP4pp","3.4.16.4"
"R_MDDCP5pp","3.4.16.4"
"R_MDH","1.1.1.37"
"R_MDH2","1.1.99.16"
"R_MDH3","1.1.99.16"
"R_ME1","1.1.1.38"
"R_ME2","1.1.1.40"
"R_METAT","2.5.1.6"
"R_METS","2.1.1.13"
"R_METSOXR1","1.8.4.5"
"R_METTRS","6.1.1.10"
"R_MGSA","4.2.3.3"
"R_MI1PP","3.1.3.25"
"R_MICITD","4.2.1.99"
"R_MICITDr","4.2.1.99"
"R_MLDCP1App","3.4.17.13"
